app_key,query_name,trackId,bundleId,trackName,sellerName,primaryGenreName,countries_found,score_total,score_breakdown
妊娠したかも,妊娠したかも,1001404840,jp.co.eversense.Ninaru,ninaru - 妊娠したら妊婦さんのための陣痛・妊娠アプリ,"EVER SENSE, INC.",Medical,GB,63.00000000000001,"{""startswith"": 0.0, ""contains"": 0.0, ""fuzzy"": 60.00000000000001, ""dev_bonus"": 0.0, ""bundle_bonus"": 0.0, ""genre_bonus"": 3.0, ""total"": 63.00000000000001}"
妊娠したかも,妊娠したかも,1486291787,jp.co.sakabou.paintimer,陣痛タイマー by ぴよログ,PiyoLog Inc.,Health & Fitness,GB,3.0,"{""startswith"": 0.0, ""contains"": 0.0, ""fuzzy"": 0.0, ""dev_bonus"": 0.0, ""bundle_bonus"": 0.0, ""genre_bonus"": 3.0, ""total"": 3.0}"
ninaru,ninaru,1001404840,jp.co.eversense.Ninaru,ninaru - 妊娠したら妊婦さんのための陣痛・妊娠アプリ,"EVER SENSE, INC.",Medical,JP,95.0,"{""startswith"": 92.0, ""contains"": 88.0, ""fuzzy"": 90.0, ""dev_bonus"": 0.0, ""bundle_bonus"": 0.0, ""genre_bonus"": 3.0, ""total"": 95.0}"
ninaru,ninaru,1085012323,jp.co.eversense.papaninaru,パパninaru-妊娠・出産・育児をサポート,"EVER SENSE, INC.",Medical,JP,93.0,"{""startswith"": 0.0, ""contains"": 88.0, ""fuzzy"": 90.0, ""dev_bonus"": 0.0, ""bundle_bonus"": 0.0, ""genre_bonus"": 3.0, ""total"": 93.0}"
ninaru,ninaru,1174708723,jp.co.eversense.ninaru-baby,育児・子育て・離乳食アプリ ninaru baby,"EVER SENSE, INC.",Medical,JP,93.0,"{""startswith"": 0.0, ""contains"": 88.0, ""fuzzy"": 90.0, ""dev_bonus"": 0.0, ""bundle_bonus"": 0.0, ""genre_bonus"": 3.0, ""total"": 93.0}"
ninaru,ninaru,1485532783,jp.co.eversense.sofuboninaru,祖父母ninaru（になる）：妊娠・育児を支えるアプリ,"EVER SENSE, INC.",Medical,JP,93.0,"{""startswith"": 0.0, ""contains"": 88.0, ""fuzzy"": 90.0, ""dev_bonus"": 0.0, ""bundle_bonus"": 0.0, ""genre_bonus"": 3.0, ""total"": 93.0}"
ninaru,ninaru,1397824035,com.cookingcity.chefgame.feverkitchen.free,クッキングシティ(Cooking City) - 料理ゲーム,"MagicSeven Co., Ltd",Games,JP,30.000000000000004,"{""startswith"": 0.0, ""contains"": 0.0, ""fuzzy"": 30.000000000000004, ""dev_bonus"": 0.0, ""bundle_bonus"": 0.0, ""genre_bonus"": 0.0, ""total"": 30.000000000000004}"
ソフィ Be,ソフィ Be,1525524558,jp.co.unicharm.sofyapp,ソフィ 生理管理アプリで生理を予測&妊活情報,Unicharm Corporation,Health & Fitness,JP,88.5,"{""startswith"": 0.0, ""contains"": 0.0, ""fuzzy"": 85.5, ""dev_bonus"": 0.0, ""bundle_bonus"": 0.0, ""genre_bonus"": 3.0, ""total"": 88.5}"
ソフィ Be,ソフィ Be,6480158120,jp.sofy.be,ソフィBe - 生理＆体調管理アプリ・月経周期＆妊活サポート,Unicharm Corporation,Health & Fitness,JP,84.81818181818181,"{""startswith"": 0.0, ""contains"": 0.0, ""fuzzy"": 81.81818181818181, ""dev_bonus"": 0.0, ""bundle_bonus"": 0.0, ""genre_bonus"": 3.0, ""total"": 84.81818181818181}"
ソフィ Be,ソフィ Be,1637544648,dem.eschool.eparents,eParent mobile,Digital Edu Management LLC,Education,JP,28.5,"{""startswith"": 0.0, ""contains"": 0.0, ""fuzzy"": 28.5, ""dev_bonus"": 0.0, ""bundle_bonus"": 0.0, ""genre_bonus"": 0.0, ""total"": 28.5}"
ソフィ Be,ソフィ Be,6443931289,dem.eschool.eschool-mobile,eSchool Mobile,Digital Edu Management LLC,Education,JP,28.5,"{""startswith"": 0.0, ""contains"": 0.0, ""fuzzy"": 28.5, ""dev_bonus"": 0.0, ""bundle_bonus"": 0.0, ""genre_bonus"": 0.0, ""total"": 28.5}"
ソフィ Be,ソフィ Be,479838529,jp.lalu.sp,妊活・生理 ラルーン｜基礎体温・妊娠・月経、周期やピルの管理,"MEDLEY, INC",Health & Fitness,JP,18.0,"{""startswith"": 0.0, ""contains"": 0.0, ""fuzzy"": 14.999999999999998, ""dev_bonus"": 0.0, ""bundle_bonus"": 0.0, ""genre_bonus"": 3.0, ""total"": 18.0}"
